timestamp,token
481587,0
481669,1
482036,0
482129,0
482264,1
484097,0
484607,0
484733,0
484893,0
485036,0
487274,3
487773,2
489980,0
490358,0
490509,0
491091,3
491249,1
491827,0
491952,0
492122,0
492737,3
492879,1
493457,0
493606,0
493671,0
493835,0
494509,3
494667,1
495345,0
495420,0
495604,0
496127,0
496264,0
496513,0
496577,0
496754,0
497335,0
497584,1
498219,0
498471,0
498638,0
498852,0
499053,1
499592,0
499759,0
500617,0
500827,0
501030,0
501159,0
501338,0
502058,0
502135,0
502310,0
502364,1
502942,0
503155,0
503360,0
503566,0
503751,0
503894,0
504491,0
504684,0
504875,0
505063,0
505159,0
505330,1
505713,0
505801,0
507105,0
507307,0
507407,0
507601,1
507869,0
509061,0
509160,0
509329,0
509497,0
509670,0
509821,3
